,dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
4590,2011-07-15,4,1,0.6,0.5909,0.73,0.1642,2,10
5967,2011-09-11,4,1,0.6,0.5606,0.83,0.1343,3,9
15045,2012-09-24,2,2,0.46,0.4545,0.63,0.1343,0,8
8349,2011-12-19,13,1,0.34,0.303,0.49,0.3284,15,142
5350,2011-08-15,20,1,0.66,0.6212,0.74,0.1343,45,285
952,2011-02-12,7,1,0.12,0.1515,0.8,0.1045,2,11
12179,2012-05-27,16,1,0.78,0.7121,0.52,0.2836,258,501
14558,2012-09-03,19,1,0.72,0.6970000000000001,0.74,0.19399999999999998,73,374
5664,2011-08-29,11,1,0.66,0.6212,0.47,0.1642,38,138
12190,2012-05-28,3,1,0.62,0.5909,0.73,0.1642,6,18
3409,2011-05-26,23,1,0.7,0.6515,0.65,0.19399999999999998,17,90
8299,2011-12-17,11,2,0.28,0.2576,0.45,0.3284,21,209
4775,2011-07-22,21,1,0.82,0.8029999999999999,0.59,0.0896,38,190
1718,2011-03-17,6,1,0.32,0.3182,0.76,0.19399999999999998,4,51
7808,2011-11-26,23,1,0.36,0.3788,0.81,0.0,18,69
10721,2012-03-27,20,1,0.42,0.4242,0.17,0.0896,28,294
12546,2012-06-11,23,2,0.7,0.6515,0.58,0.2239,8,80
16330,2012-11-18,4,2,0.3,0.2879,0.81,0.19399999999999998,4,12
8441,2011-12-23,9,1,0.4,0.4091,0.66,0.2985,4,156
10360,2012-03-12,19,2,0.56,0.5303,0.49,0.2239,67,446
13310,2012-07-13,19,1,0.74,0.6667,0.51,0.1642,103,488
6482,2011-10-02,16,3,0.36,0.3485,0.87,0.19399999999999998,44,206
7978,2011-12-04,2,1,0.26,0.303,0.81,0.0,11,62
7417,2011-11-10,16,3,0.36,0.3485,0.81,0.2239,6,73
13748,2012-08-01,1,1,0.66,0.6061,0.83,0.0896,5,33
2564,2011-04-21,18,1,0.5,0.4848,0.25,0.2836,71,452
5928,2011-09-09,13,1,0.7,0.6667,0.79,0.0896,14,122
15237,2012-10-02,2,2,0.54,0.5152,0.77,0.1045,0,2
7885,2011-11-30,5,1,0.28,0.2727,0.81,0.19399999999999998,1,22
5152,2011-08-07,14,1,0.86,0.8029999999999999,0.47,0.19399999999999998,130,322
1146,2011-02-20,13,1,0.34,0.3333,0.29,0.0,76,198
13391,2012-07-17,4,1,0.72,0.6818,0.62,0.0,0,7
1937,2011-03-26,12,1,0.3,0.2879,0.36,0.19399999999999998,98,227
15148,2012-09-28,9,2,0.62,0.5758,0.83,0.1045,27,426
1031,2011-02-15,16,1,0.34,0.3182,0.19,0.2537,21,98
3884,2011-06-15,18,1,0.72,0.6515,0.32,0.1343,80,607
14103,2012-08-15,20,1,0.7,0.6515,0.61,0.1343,72,427
7652,2011-11-20,11,2,0.5,0.4848,0.63,0.1045,74,286
17171,2012-12-23,6,1,0.16,0.19699999999999998,0.64,0.0896,4,9
12384,2012-06-05,5,3,0.48,0.4697,0.82,0.1642,1,36
456,2011-01-21,1,2,0.24,0.2273,0.7,0.2537,0,6
11251,2012-04-19,0,3,0.42,0.4242,0.77,0.0,5,25
3336,2011-05-23,22,1,0.62,0.5455,0.94,0.2239,25,131
5397,2011-08-17,19,1,0.76,0.6970000000000001,0.55,0.2239,50,347
10129,2012-03-03,3,2,0.36,0.3485,0.93,0.1642,1,21
3858,2011-06-14,16,1,0.68,0.6364,0.41,0.19399999999999998,51,330
96,2011-01-05,5,1,0.22,0.2273,0.47,0.1642,0,3
3507,2011-05-31,1,1,0.68,0.6364,0.89,0.0896,8,17
3130,2011-05-15,8,2,0.54,0.5152,0.94,0.1343,24,70
2474,2011-04-18,0,1,0.46,0.4545,0.47,0.0896,15,39
3931,2011-06-17,17,3,0.76,0.6818,0.4,0.19399999999999998,85,552
2627,2011-04-24,9,1,0.56,0.5303,0.88,0.2537,73,177
3773,2011-06-11,3,1,0.68,0.6364,0.83,0.0896,10,28
14605,2012-09-05,18,1,0.76,0.7424,0.75,0.19399999999999998,82,839
2239,2011-04-08,4,2,0.34,0.3333,0.86,0.1343,0,1
12788,2012-06-22,1,1,0.76,0.7424,0.75,0.1642,3,31
7093,2011-10-28,4,1,0.3,0.2879,0.65,0.2836,5,10
7894,2011-11-30,14,2,0.38,0.3939,0.43,0.3582,13,112
7512,2011-11-14,15,1,0.64,0.6212,0.44,0.3284,53,195
13637,2012-07-27,10,1,0.84,0.7727,0.47,0.0,85,231
3027,2011-05-11,1,2,0.5,0.4848,0.59,0.1045,4,20
5747,2011-09-01,22,2,0.66,0.6212,0.57,0.2239,34,179
5138,2011-08-07,0,2,0.7,0.6667,0.84,0.2836,14,80
12212,2012-05-29,1,1,0.7,0.6667,0.79,0.19399999999999998,1,14
2389,2011-04-14,11,1,0.52,0.5,0.45,0.1642,28,115
7946,2011-12-02,18,1,0.4,0.4091,0.5,0.0,10,372
16819,2012-12-08,14,2,0.4,0.4091,0.87,0.2836,164,542
1592,2011-03-11,20,1,0.3,0.303,0.56,0.1642,6,76
2391,2011-04-14,13,1,0.56,0.5303,0.37,0.2239,38,159
3082,2011-05-13,8,2,0.5,0.4848,0.88,0.19399999999999998,26,387
7589,2011-11-17,20,1,0.3,0.2879,0.42,0.2836,7,169
8011,2011-12-05,11,2,0.36,0.3636,0.87,0.0896,17,123
11740,2012-05-09,9,2,0.6,0.5606,0.83,0.0,40,325
6834,2011-10-17,8,2,0.5,0.4848,0.51,0.2537,33,414
15702,2012-10-21,11,1,0.52,0.5,0.44,0.3284,191,547
13250,2012-07-11,7,2,0.66,0.6061,0.83,0.1045,26,497
5156,2011-08-07,18,1,0.72,0.6970000000000001,0.74,0.0896,74,229
7663,2011-11-20,22,3,0.46,0.4545,0.88,0.0896,5,40
14433,2012-08-29,14,1,0.76,0.6818,0.4,0.0896,87,301
16399,2012-11-21,1,1,0.32,0.3333,0.81,0.1045,1,14
1663,2011-03-14,21,1,0.34,0.3333,0.46,0.1343,5,63
2901,2011-05-05,19,1,0.54,0.5152,0.28,0.2239,56,361
4099,2011-06-24,17,1,0.76,0.6667,0.37,0.2537,85,557
14916,2012-09-18,17,3,0.6,0.5455,0.88,0.19399999999999998,36,338
17102,2012-12-20,9,2,0.3,0.3333,0.7,0.0,14,317
5088,2011-08-04,22,1,0.68,0.6364,0.74,0.19399999999999998,33,174
15144,2012-09-28,5,1,0.56,0.5303,0.88,0.0,1,38
2540,2011-04-20,18,1,0.74,0.6515,0.3,0.3582,56,441
12963,2012-06-29,8,2,0.74,0.6818,0.55,0.1045,48,624
10547,2012-03-20,14,2,0.6,0.5909,0.73,0.1642,66,248
11958,2012-05-18,11,1,0.62,0.6212,0.43,0.0,109,334
6407,2011-09-29,13,1,0.64,0.6212,0.61,0.19399999999999998,36,211
12273,2012-05-31,14,1,0.76,0.6667,0.31,0.19399999999999998,61,254
7792,2011-11-26,7,1,0.26,0.2727,0.87,0.1045,4,17
6840,2011-10-17,14,1,0.58,0.5455,0.49,0.19399999999999998,44,166
2354,2011-04-13,0,2,0.4,0.4091,1.0,0.2985,3,15
2134,2011-04-03,19,2,0.42,0.4242,0.44,0.19399999999999998,51,144
9841,2012-02-20,0,2,0.24,0.2576,0.87,0.0896,5,41
2397,2011-04-14,19,1,0.54,0.5152,0.32,0.0,37,259
16003,2012-11-04,12,1,0.38,0.3939,0.46,0.2239,150,504
4184,2011-06-28,6,1,0.66,0.6061,0.83,0.1642,7,124
15498,2012-10-12,23,1,0.36,0.3485,0.57,0.19399999999999998,11,100
2576,2011-04-22,6,1,0.34,0.3182,0.53,0.2836,2,49
2373,2011-04-13,19,1,0.44,0.4394,0.62,0.2537,15,175
11809,2012-05-12,6,1,0.42,0.4242,0.67,0.0896,10,33
13715,2012-07-30,16,1,0.8,0.7424,0.49,0.2836,88,425
11399,2012-04-25,4,1,0.34,0.3485,0.66,0.0896,0,6
8765,2012-01-06,1,1,0.22,0.2727,0.75,0.0,2,8
15654,2012-10-19,11,1,0.6,0.5606,0.83,0.19399999999999998,41,252
1281,2011-02-26,13,2,0.34,0.3182,0.42,0.2537,38,174
8630,2011-12-31,9,1,0.38,0.3939,0.76,0.0,18,90
15171,2012-09-29,8,1,0.5,0.4848,0.68,0.2836,37,211
5640,2011-08-28,11,1,0.7,0.6515,0.58,0.3881,59,237
15154,2012-09-28,15,2,0.68,0.6364,0.54,0.2836,104,392
9835,2012-02-19,18,2,0.3,0.2727,0.49,0.3284,23,167
11420,2012-04-26,1,2,0.48,0.4697,0.48,0.0896,1,23
2515,2011-04-19,17,1,0.56,0.5303,0.6,0.1045,39,411
16075,2012-11-07,12,2,0.32,0.303,0.53,0.2836,24,212
4262,2011-07-01,12,1,0.8,0.6970000000000001,0.26,0.0,83,263
12169,2012-05-27,6,1,0.62,0.5758,0.83,0.1642,8,22
15661,2012-10-19,18,1,0.56,0.5303,0.83,0.1045,21,233
1471,2011-03-06,15,3,0.44,0.4394,1.0,0.2239,3,7
415,2011-01-19,8,2,0.24,0.2576,0.93,0.1045,1,197
6956,2011-10-22,11,2,0.44,0.4394,0.62,0.1045,110,282
6346,2011-09-27,0,1,0.62,0.5455,0.94,0.1343,9,37
5013,2011-08-01,19,1,0.74,0.6667,0.51,0.2239,63,413
5778,2011-09-03,5,1,0.62,0.6061,0.69,0.19399999999999998,3,12
12610,2012-06-14,15,1,0.74,0.6667,0.48,0.2985,111,324
3695,2011-06-07,21,1,0.72,0.6818,0.7,0.1343,31,218
710,2011-02-01,23,3,0.2,0.19699999999999998,0.93,0.19399999999999998,1,16
12307,2012-06-02,0,2,0.56,0.5303,0.83,0.1343,5,86
15031,2012-09-23,12,1,0.56,0.5303,0.43,0.1045,250,776
3528,2011-05-31,22,1,0.74,0.6970000000000001,0.7,0.1642,42,159
4503,2011-07-11,13,1,0.86,0.8182,0.5,0.2537,22,141
7306,2011-11-06,1,1,0.26,0.303,0.81,0.0,11,115
2528,2011-04-20,6,1,0.42,0.4242,0.94,0.1642,2,64
15247,2012-10-02,12,2,0.6,0.5455,0.88,0.19399999999999998,6,104
9201,2012-01-24,7,2,0.32,0.3333,0.93,0.1343,11,232
16566,2012-11-28,0,2,0.26,0.2424,0.75,0.2537,1,23
2893,2011-05-05,11,1,0.52,0.5,0.36,0.4478,43,148
13608,2012-07-26,5,1,0.66,0.6212,0.74,0.19399999999999998,2,42
1495,2011-03-07,16,1,0.34,0.303,0.31,0.3582,26,122
6634,2011-10-09,0,1,0.46,0.4545,0.88,0.0896,46,129
12570,2012-06-12,23,3,0.66,0.5909,0.94,0.2239,11,89
6249,2011-09-22,23,2,0.62,0.5455,0.94,0.0,14,113
6867,2011-10-18,17,1,0.6,0.6061,0.6,0.1343,72,625
15907,2012-10-31,12,1,0.4,0.4091,0.58,0.19399999999999998,44,241
4091,2011-06-24,9,1,0.74,0.6818,0.62,0.1343,28,231
12068,2012-05-23,1,1,0.6,0.5606,0.83,0.1642,23,32
2888,2011-05-05,6,1,0.34,0.3182,0.66,0.2537,3,89
13782,2012-08-02,11,1,0.82,0.7727,0.52,0.1045,59,226
15078,2012-09-25,11,1,0.6,0.6212,0.46,0.2985,63,218
1523,2011-03-08,20,1,0.32,0.3333,0.39,0.0896,2,76
10545,2012-03-20,12,1,0.6,0.5758,0.78,0.2537,56,261
16793,2012-12-07,12,2,0.34,0.3333,0.71,0.19399999999999998,36,240
5206,2011-08-09,20,1,0.8,0.7273,0.43,0.19399999999999998,34,292
15211,2012-10-01,0,1,0.46,0.4545,0.72,0.1045,6,45
1406,2011-03-03,21,1,0.18,0.2121,0.4,0.1045,3,51
3319,2011-05-23,5,2,0.54,0.5152,0.94,0.0,0,11
14084,2012-08-15,1,1,0.7,0.6515,0.61,0.0,6,37
13648,2012-07-27,21,1,0.78,0.7424,0.59,0.1045,71,260
9468,2012-02-04,10,1,0.24,0.2576,0.87,0.1045,31,224
527,2011-01-24,3,1,0.04,0.0303,0.45,0.2537,0,1
1811,2011-03-21,5,1,0.32,0.303,0.81,0.2985,1,2
8830,2012-01-08,18,1,0.34,0.3182,0.46,0.2239,19,181
7401,2011-11-10,0,1,0.4,0.4091,0.87,0.0,0,24
10881,2012-04-03,13,1,0.56,0.5303,0.19,0.2537,120,345
13085,2012-07-04,10,1,0.8,0.7273,0.46,0.0,143,447
15462,2012-10-11,11,1,0.46,0.4545,0.36,0.0,76,251
10133,2012-03-03,7,2,0.36,0.3485,0.93,0.1343,2,16
12442,2012-06-07,15,1,0.74,0.6515,0.3,0.0,99,333
11630,2012-05-04,19,1,0.7,0.6515,0.51,0.1343,64,452
11832,2012-05-13,5,1,0.52,0.5,0.72,0.19399999999999998,4,12
6264,2011-09-23,14,3,0.6,0.5,1.0,0.0896,3,24
8585,2011-12-29,12,2,0.26,0.2727,0.56,0.1045,12,130
17091,2012-12-19,22,1,0.34,0.3485,0.61,0.0896,12,129
13097,2012-07-04,22,1,0.82,0.7879,0.56,0.2239,175,502
4227,2011-06-30,1,1,0.64,0.6212,0.53,0.1343,13,32
10074,2012-02-29,20,3,0.42,0.4242,0.88,0.1642,2,97
1486,2011-03-07,7,1,0.2,0.1667,0.75,0.4179,3,91
8756,2012-01-05,16,1,0.36,0.3333,0.34,0.2836,19,197
6107,2011-09-17,1,1,0.46,0.4545,0.72,0.1045,28,80
13731,2012-07-31,8,1,0.7,0.6667,0.79,0.1343,30,760
3012,2011-05-10,10,2,0.56,0.5303,0.37,0.0896,27,127
774,2011-02-04,17,2,0.26,0.2727,0.56,0.1343,10,205
10000,2012-02-26,17,1,0.36,0.3485,0.32,0.2239,46,287
6455,2011-10-01,13,2,0.4,0.4091,0.82,0.3284,27,125
1631,2011-03-13,12,1,0.46,0.4545,0.38,0.3881,74,194
8164,2011-12-11,20,1,0.22,0.2424,0.55,0.1045,10,72
10289,2012-03-09,19,1,0.42,0.4242,0.28,0.6119,12,244
8607,2011-12-30,10,1,0.3,0.2879,0.65,0.2537,10,118
9347,2012-01-30,9,1,0.2,0.19699999999999998,0.47,0.2239,5,198
469,2011-01-21,14,1,0.2,0.1515,0.25,0.5224,6,62
2750,2011-04-29,12,1,0.56,0.5303,0.37,0.2836,63,223
15743,2012-10-23,4,1,0.42,0.4242,0.77,0.1045,1,7
13505,2012-07-21,22,2,0.6,0.5455,0.88,0.1045,40,180
5700,2011-08-30,23,1,0.62,0.6061,0.61,0.0,19,93
10319,2012-03-11,1,1,0.24,0.2424,0.52,0.1642,4,61
15773,2012-10-24,10,2,0.54,0.5152,0.73,0.0,29,171
7364,2011-11-08,11,1,0.46,0.4545,0.63,0.1343,21,147
12138,2012-05-25,23,1,0.66,0.6061,0.78,0.2239,34,166
12147,2012-05-26,8,1,0.64,0.5909,0.78,0.1343,38,141
9254,2012-01-26,12,2,0.34,0.3333,0.81,0.1343,29,165
598,2011-01-28,3,2,0.2,0.2273,0.75,0.1045,1,1
4562,2011-07-14,0,1,0.66,0.6212,0.69,0.2985,14,46
17195,2012-12-24,7,1,0.2,0.2576,0.69,0.0,3,30
15342,2012-10-06,11,1,0.64,0.6061,0.65,0.2537,258,647
4001,2011-06-20,15,1,0.66,0.6212,0.61,0.1343,66,205
4659,2011-07-18,1,1,0.7,0.6667,0.74,0.2239,17,25
1905,2011-03-25,4,1,0.18,0.2121,0.74,0.1045,3,5
7205,2011-11-01,20,1,0.4,0.4091,0.71,0.0,18,209
9608,2012-02-10,7,1,0.2,0.2121,0.59,0.1642,5,230
4684,2011-07-19,2,1,0.72,0.6818,0.7,0.1642,9,13
9482,2012-02-05,0,2,0.24,0.2424,0.87,0.1343,3,61
11194,2012-04-16,15,1,0.8,0.6970000000000001,0.33,0.4478,81,275
6931,2011-10-21,10,1,0.46,0.4545,0.51,0.1642,32,138
9983,2012-02-26,0,1,0.24,0.2121,0.41,0.3582,7,70
5683,2011-08-30,6,1,0.54,0.5152,0.73,0.1045,4,119
8126,2011-12-10,6,1,0.24,0.2576,0.65,0.1045,1,11
5080,2011-08-04,14,1,0.8,0.7576,0.55,0.1642,53,167
9619,2012-02-10,18,3,0.3,0.303,0.61,0.1343,14,359
5790,2011-09-03,17,1,0.72,0.6818,0.7,0.2239,170,371
10714,2012-03-27,13,1,0.36,0.3485,0.27,0.0,46,211
9659,2012-02-12,10,1,0.12,0.1061,0.42,0.3582,8,91
15927,2012-11-01,8,2,0.36,0.3788,0.56,0.1045,12,680
11071,2012-04-11,12,2,0.36,0.3333,0.46,0.3881,35,182
6831,2011-10-17,5,1,0.5,0.4848,0.63,0.2985,1,29
1446,2011-03-05,13,2,0.46,0.4545,0.67,0.2836,60,190
12004,2012-05-20,9,1,0.62,0.6212,0.32,0.2537,129,313
7578,2011-11-17,9,2,0.34,0.303,0.61,0.3284,14,198
14128,2012-08-16,21,1,0.74,0.6667,0.48,0.19399999999999998,83,356
1419,2011-03-04,10,1,0.24,0.2273,0.6,0.2537,10,66
7073,2011-10-27,8,3,0.48,0.4697,0.88,0.19399999999999998,12,316
7886,2011-11-30,6,1,0.26,0.2727,0.87,0.1045,3,103
14943,2012-09-19,20,1,0.52,0.5,0.48,0.1642,31,409
10525,2012-03-19,16,1,0.66,0.6212,0.5,0.2239,65,385
6187,2011-09-20,9,3,0.54,0.5152,0.94,0.2239,5,69
6000,2011-09-12,14,1,0.74,0.6667,0.51,0.1642,60,189
13336,2012-07-14,21,1,0.7,0.6667,0.84,0.2239,69,269
2837,2011-05-03,3,1,0.54,0.5152,0.83,0.2836,0,2
9093,2012-01-19,19,2,0.26,0.2273,0.48,0.2985,5,234
3757,2011-06-10,11,1,0.82,0.7576,0.46,0.0,46,153
3218,2011-05-19,0,1,0.52,0.5,0.94,0.1045,6,29
3573,2011-06-02,19,1,0.72,0.6364,0.23,0.2985,58,379
3132,2011-05-15,10,1,0.58,0.5455,0.83,0.2239,73,226
8889,2012-01-11,6,1,0.2,0.2121,0.86,0.1343,2,74
3520,2011-05-31,14,1,0.9,0.8182,0.37,0.0,41,140
6594,2011-10-07,8,1,0.46,0.4545,0.82,0.0,31,417
15011,2012-09-22,16,1,0.74,0.6667,0.51,0.3284,253,680
8968,2012-01-14,13,1,0.22,0.2121,0.44,0.2836,38,220
17051,2012-12-18,6,1,0.36,0.3485,0.93,0.1642,1,118
2588,2011-04-22,18,3,0.32,0.303,0.93,0.2239,4,51
14640,2012-09-07,5,1,0.62,0.5606,0.88,0.0,1,40
3338,2011-05-24,0,2,0.6,0.5152,0.94,0.19399999999999998,12,35
4695,2011-07-19,13,1,0.86,0.8333,0.53,0.1045,33,172
14428,2012-08-29,9,1,0.7,0.6515,0.51,0.19399999999999998,40,348
13153,2012-07-07,6,1,0.74,0.7121,0.74,0.1045,4,31
10702,2012-03-27,1,1,0.3,0.2727,0.26,0.4627,1,5
3353,2011-05-24,15,3,0.74,0.6818,0.55,0.4179,59,188
4308,2011-07-03,10,1,0.74,0.6970000000000001,0.66,0.1642,131,264
1758,2011-03-18,23,2,0.6,0.6212,0.53,0.2239,26,86
14350,2012-08-26,3,2,0.64,0.5758,0.89,0.2537,11,53
13088,2012-07-04,13,1,0.9,0.8182,0.35,0.0,177,499
852,2011-02-07,23,2,0.3,0.3333,0.81,0.0,6,25
1494,2011-03-07,15,1,0.34,0.303,0.31,0.3881,32,96
10419,2012-03-15,6,1,0.44,0.4394,0.72,0.0896,4,117
11396,2012-04-25,1,1,0.42,0.4242,0.41,0.0,8,25
2464,2011-04-17,14,1,0.52,0.5,0.34,0.3881,170,361
14333,2012-08-25,10,2,0.7,0.6515,0.65,0.2985,148,442
17044,2012-12-17,23,3,0.42,0.4242,0.94,0.2239,6,47
14439,2012-08-29,20,1,0.68,0.6364,0.57,0.0,49,427
6384,2011-09-28,14,1,0.72,0.6818,0.62,0.2537,25,170
4483,2011-07-10,17,1,0.84,0.7424,0.36,0.2239,146,363
11187,2012-04-16,8,2,0.56,0.5303,0.83,0.1642,48,597
9525,2012-02-06,20,1,0.34,0.3333,0.46,0.1642,7,201
9572,2012-02-08,19,3,0.24,0.2576,0.87,0.1045,3,161
5219,2011-08-10,9,1,0.76,0.6818,0.48,0.2239,32,180
17005,2012-12-16,8,2,0.36,0.3485,0.87,0.1343,12,88
8956,2012-01-14,1,1,0.16,0.1515,0.47,0.19399999999999998,6,50
2332,2011-04-12,2,2,0.6,0.6212,0.53,0.1343,7,14
15001,2012-09-22,6,1,0.56,0.5303,0.83,0.2985,6,41
8969,2012-01-14,14,1,0.24,0.2121,0.41,0.2985,52,231
4608,2011-07-15,22,1,0.66,0.6212,0.57,0.2239,71,223
15799,2012-10-25,12,2,0.56,0.5303,0.78,0.1045,61,319
13195,2012-07-09,0,2,0.68,0.6364,0.89,0.0896,6,39
4574,2011-07-14,12,1,0.74,0.6515,0.35,0.2537,51,223
8794,2012-01-07,6,1,0.26,0.2727,0.75,0.1045,0,7
500,2011-01-22,22,1,0.06,0.1515,0.49,0.0,7,30
14007,2012-08-11,20,3,0.66,0.5909,0.89,0.4179,31,160
7666,2011-11-21,1,3,0.46,0.4545,0.94,0.19399999999999998,4,12
11247,2012-04-18,20,2,0.42,0.4242,0.77,0.1045,8,260
1046,2011-02-16,8,2,0.22,0.2273,0.55,0.1642,6,230
13124,2012-07-06,1,1,0.78,0.7273,0.55,0.2239,7,29
11195,2012-04-16,16,1,0.8,0.6970000000000001,0.33,0.4627,92,358
2633,2011-04-24,15,1,0.66,0.6212,0.61,0.2537,167,369
9305,2012-01-28,15,1,0.4,0.4091,0.47,0.3284,90,410
9440,2012-02-03,6,1,0.24,0.2424,0.65,0.1642,0,88
11354,2012-04-23,7,3,0.3,0.2879,0.81,0.2537,1,207
10946,2012-04-06,6,1,0.3,0.2727,0.49,0.3881,0,80
10095,2012-03-01,17,1,0.56,0.5303,0.35,0.2985,49,600
12720,2012-06-19,5,2,0.6,0.5758,0.78,0.19399999999999998,3,37
13606,2012-07-26,3,1,0.66,0.6212,0.69,0.2239,0,8
14392,2012-08-27,21,1,0.72,0.6970000000000001,0.74,0.19399999999999998,39,278
5625,2011-08-27,7,2,0.7,0.6667,0.84,0.3582,2,28
7784,2011-11-25,23,1,0.34,0.3485,0.76,0.1045,5,33
14469,2012-08-31,2,1,0.66,0.5909,0.89,0.1343,9,20
8986,2012-01-15,7,1,0.12,0.1212,0.54,0.2836,3,17
14867,2012-09-16,16,1,0.64,0.6212,0.44,0.1642,194,596
12401,2012-06-05,22,1,0.56,0.5303,0.52,0.1045,22,193
777,2011-02-04,20,2,0.24,0.2424,0.65,0.1642,2,71
16661,2012-12-02,0,2,0.3,0.3182,0.87,0.0896,9,117
6443,2011-10-01,1,1,0.48,0.4697,0.67,0.3284,11,58
10735,2012-03-28,10,1,0.46,0.4545,0.41,0.4179,33,173
7307,2011-11-06,2,1,0.26,0.303,0.81,0.0,6,29
4019,2011-06-21,9,2,0.62,0.5606,0.88,0.2537,32,275
1194,2011-02-22,19,1,0.2,0.1818,0.47,0.2836,4,118
12585,2012-06-13,14,2,0.72,0.6515,0.37,0.4179,98,320
51,2011-01-03,6,1,0.14,0.1061,0.5,0.3881,0,30
5652,2011-08-28,23,1,0.62,0.5909,0.73,0.1045,16,64
7048,2011-10-26,7,1,0.42,0.4242,0.71,0.1642,15,299
2304,2011-04-10,21,1,0.44,0.4394,0.88,0.19399999999999998,18,95
9751,2012-02-16,6,2,0.3,0.3182,0.7,0.0896,4,87
8444,2011-12-23,12,1,0.4,0.4091,0.54,0.5224,14,170
17219,2012-12-25,8,2,0.24,0.2879,0.87,0.0,1,11
6083,2011-09-16,1,1,0.42,0.4242,0.67,0.19399999999999998,7,26
1113,2011-02-19,3,1,0.42,0.4242,0.14,0.2985,0,7
2982,2011-05-09,4,1,0.42,0.4242,0.82,0.1642,0,4
656,2011-01-30,16,1,0.3,0.3333,0.56,0.0,19,123
3254,2011-05-20,12,2,0.6,0.6212,0.56,0.2537,69,255
9173,2012-01-23,3,2,0.18,0.2424,0.86,0.0,0,1
4921,2011-07-28,23,1,0.76,0.7424,0.75,0.19399999999999998,28,123
5890,2011-09-07,22,3,0.62,0.5455,0.94,0.1642,3,29
1187,2011-02-22,12,1,0.2,0.2273,0.59,0.1045,7,55
17321,2012-12-29,14,2,0.24,0.2424,0.87,0.0896,10,98
13838,2012-08-04,19,1,0.82,0.7727,0.52,0.3582,133,397
16252,2012-11-14,22,1,0.28,0.3182,0.61,0.0,6,173
6005,2011-09-12,19,1,0.68,0.6364,0.57,0.1343,63,436
565,2011-01-25,18,2,0.3,0.3182,0.49,0.0896,7,225
4118,2011-06-25,12,1,0.74,0.6515,0.4,0.2836,140,392
5899,2011-09-08,8,3,0.62,0.5455,0.94,0.1343,7,195
11239,2012-04-18,12,3,0.46,0.4545,0.51,0.1045,15,110
5681,2011-08-30,4,1,0.52,0.5,0.77,0.1642,0,6
